"CAN I.D.","Rate (Hz)","Direction","Message Position","Sign","Channel","Units","Conversion from Raw"
0x360,50,TX,0 - 1,Unsigned,RPM,RPM,y = x
,,,2 - 3,Unsigned,Manifold Pressure,kPa (Abs),y = x/10
,,,4 - 5,Unsigned,Throttle Position,%,y = x/10
,,,6 - 7,Unsigned,Coolant Pressure,kPa,y = x/10 - 101.3
0x361,50,TX,0 - 1,Unsigned,Fuel Pressure,kPa,y = x/10 - 101.3
,,,2 - 3,Unsigned,Oil Pressure,kPa,y = x/10 - 101.3
,,,4 - 5,Unsigned,Engine Demand,%,y = x/10
,,,6 - 7,Unsigned,Wastegate Pressure,kPa,y = x/10 - 101.3
0x362,50,TX,0 - 1,Unsigned,Injection Stage 1 Duty Cycle,%,y = x/10
,,,2 - 3,Unsigned,Injection Stage 2 Duty Cycle,%,y = x/10
,,,4 - 5,Signed,Ignition Angle (Leading),°,y = x/10
0x363,20,TX,0 - 1,Signed,Wheel Slip,km/h,y = x/10
,,,2 - 3,Signed,Wheel Diff,km/h,y = x/10
0x368,20,TX,0 - 1,Unsigned,Wideband Sensor 1,λ,y = x/1000
,,,2 - 3,Unsigned,Wideband Sensor 2,λ,y = x/1000
,,,4 - 5,Unsigned,Wideband Sensor 3,λ,y = x/1000
,,,6 - 7,Unsigned,Wideband Sensor 4,λ,y = x/1000
0x369,20,TX,0 - 1,Unsigned,Trigger System Error Count,raw,y = x
,,,2 - 3,Unsigned,Trigger Counter,raw,y = x
,,,6 - 7,Unsigned,Trigger Sync Level,raw,y = x
0x36A,20,TX,0 - 1,Unsigned,Knock Level 1,dB,y = x/100
,,,2 - 3,Unsigned,Knock Level 2,dB,y = x/100
0x36B,20,TX,0 - 1,Unsigned,Brake Pressure,kPa,y = x - 101.3
,,,2 - 3,Unsigned,NOS Pressure Sensor 1,kPa,y = x*11/50 - 101.3
,,,4 - 5,Unsigned,Turbo Speed Sensor 1,RPM,y = x*10
,,,6 - 7,Signed,Lateral G,m/s2,y = x/10
0x36C,20,TX,0 - 1,Unsigned,Wheel Speed Front Left,km/h,y = x/10
,,,2 - 3,Unsigned,Wheel Speed Front Right,km/h,y = x/10
,,,4 - 5,Unsigned,Wheel Speed Rear Left,km/h,y = x/10
,,,6 - 7,Unsigned,Wheel Speed Rear Right,km/h,y = x/10
0x36D,20,TX,4 - 5,Signed,Exhaust Cam Angle 1,°,y = x/10
,,,6 - 7,Signed,Exhaust Cam Angle 2,°,y = x/10
0x36E,20,TX,0 - 1,Unsigned,Engine Limiting Active,raw,"y := 0=Off,1=On"
,,,2 - 3,Signed,Launch Control Ignition Retard,°,y = x/10
,,,4 - 5,Signed,Launch Control Fuel Enrich,%,y = x/10
,,,6 - 7,Signed,Longitudinal G,m/s2,y = x/10
0x36F,20,TX,0 - 1,Unsigned,Generic Output 1 Duty Cycle,%,y = x/10
,,,2 - 3,Unsigned,Boost Control Output,%,y = x/10
0x370,20,TX,0 - 1,Unsigned,Vehicle Speed,km/h,y = x/10
,,,4 - 5,Signed,Intake Cam Angle 1,°,y = x/10
,,,6 - 7,Signed,Intake Cam Angle 2,°,y = x/10
0x371,10,TX,0 - 1,Unsigned,Fuel Flow,cc/min,y = x
