group,offset,total offset,size,signed,name,function,units,multiply,divide,add,ms2
 0, 0, 0, 2, -, seconds, Seconds ECU has been on, s, 1, 1, 0, Y
 0, 2, 2, 2, -, pw1, Main pulsewidth bank 1, ms, 1, 1000, 0, Y
 0, 4, 4, 2, -, pw2, Main pulsewidth bank 2, ms, 1, 1000, 0, Y
 0, 6, 6, 2, -, rpm, Engine RPM, RPM, 1, 1, 0, Y
 1, 0, 8, 2, Y, adv_deg, Final ignition spark advance, deg BTDC, 1, 10, 0, Y
 1, 2, 10, 1, -, squirt, Bitfield of batch fire injector events, -, 1, 1, 0, Y
 1, 3, 11, 1, -, engine, Bitfield of engine status, -, 1, 1, 0, Y
 1, 4, 12, 1, -, afrtgt1, Bank 1 AFR target, AFR, 1, 10, 0, Y
 1, 5, 13, 1, -, afrtgt2, Bank 2 AFR targer, AFR, 1, 10, 0, Y
 1, 6, 14, 1, -, wbo2_en1, not used, -, 1, 1, 0, Y
 1, 7, 15, 1, -, wbo2_en2, not used, -, 1, 1, 0, Y
 2, 0, 16, 2, Y, baro, Barometric pressure, kPa, 1, 10, 0, Y
 2, 2, 18, 2, Y, map, Manifold air pressure, kPa, 1, 10, 0, Y
 2, 4, 20, 2, Y, mat, Manifold air temperature, deg F, 1, 10, 0, Y
 2, 6, 22, 2, Y, clt, Coolant temperature, deg F, 1, 10, 0, Y
 3, 0, 24, 2, Y, tps, Throttle position, %, 1, 10, 0, Y
 3, 2, 26, 2, Y, batt, Battery voltage, V, 1, 10, 0, Y
 3, 4, 28, 2, Y, afr1_old, AFR1 (Deprecated on MS3), AFR, 1, 10, 0, Y
 3, 6, 30, 2, Y, afr2_old, AFR2 (Deprecated on MS3), AFR, 1, 10, 0, Y
 4, 0, 32, 2, Y, knock, Indication of knock input, %, 1, 10, 0, Y
 4, 2, 34, 2, Y, egocor1, EGO bank 1 correction, %, 1, 10, 0, Y
 4, 4, 36, 2, Y, egocor2, EGO bank2 correction, %, 1, 10, 0, Y
 4, 6, 38, 2, Y, aircor, Air density correction, %, 1, 10, 0, Y
 5, 0, 40, 2, Y, warmcor, Warmup correction, %, 1, 10, 0, Y
 5, 2, 42, 2, Y, tpsaccel, TPS-based acceleration, %, 1, 10, 0, Y
 5, 4, 44, 2, Y, tpsfuelcut, TPS-based fuel cut, %, 1, 10, 0, Y
 5, 6, 46, 2, Y, barocor, Barometric fuel correction, %, 1, 10, 0, Y
 6, 0, 48, 2, Y, totalcor, Total fuel correction, %, 1, 10, 0, Y
 6, 2, 50, 2, Y, ve1, VE value table/bank 1, %, 1, 10, 0, Y
 6, 4, 52, 2, Y, ve2, VE value table/bank 2, %, 1, 10, 0, Y
 6, 6, 54, 2, Y, iacstep, Stepper idle step number or PWM idle value duty, step duty%, 1 392, 1 1000, 0 0, Y
 7, 0, 56, 2, Y, cold_adv_deg, Cold advance, deg, 1, 10, 0, Y
 7, 2, 58, 2, Y, TPSdot, Rate of change of TPS, %/s, 1, 10, 0, Y
 7, 4, 60, 2, Y, MAPdot, Rate of change of MAP, kPa/s, 1, 1, 0, Y
 7, 6, 62, 2, Y, RPMdot, Rate of change of RPM, RPM/s, 10, 1, 0, Y
 8, 0, 64, 2, Y, MAFload, Synthetic 'load' from MAF, %, 1, 10, 0, Y
 8, 2, 66, 2, Y, fuelload, 'Load' used for fuel table lookup e.g. equals MAP in Speed-Density, %, 1, 10, 0, Y
 8, 4, 68, 2, Y, fuelcor, Adjustment to fuel from Flex, %, 1, 10, 0, Y
 8, 6, 70, 2, Y, MAF, Mass Air Flow (Scaling depend on range 650g/s shown), g/s, 1, 100, 0, Y
 9, 0, 72, 2, Y, egoV1, Voltage from O2#1 (Deprecated on MS3), V, 1, 100, 0, Y
 9, 2, 74, 2, Y, egoV2, Voltage from O2#2 (Deprecated on MS3), V, 1, 100, 0, Y
 9, 4, 76, 2, -, dwell, Main ignition dwell, ms, 1, 10, 0, Y
 9, 6, 78, 2, -, dwell_trl, Trailing ignition dwell, ms, 1, 10, 0, Y
10, 0, 80, 1, -, status1, ECU status bitfield, -, 1, 1, 0, Y
10, 1, 81, 1, -, status2, ECU status bitfield, -, 1, 1, 0, Y
10, 2, 82, 1, -, status3, ECU status bitfield, -, 1, 1, 0, Y
10, 3, 83, 1, -, status4, Not typically used, -, 1, 1, 0, Y
10, 4, 84, 2, Y, status5, Not typically used, -, 1, 1, 0, Y
10, 6, 86, 1, -, status6, ECU status bitfield, -, 1, 1, 0, -
10, 7, 87, 1, -, status7, ECU status bitfield, -, 1, 1, 0, -
11, 0, 88, 2, Y, fuelload2, 'Load' used for fuelling on modified table, %, 1, 10, 0, Y
11, 2, 90, 2, Y, ignload, 'Load' used for ignition table lookup, %, 1, 10, 0, Y
11, 4, 92, 2, Y, ignload2, 'Load' used for modifier ignition table lookup, %, 1, 10, 0, Y
11, 6, 94, 2, Y, airtemp, Estimated intake air temperature, deg F, 1, 10, 0, Y
12, 0, 96, 4, Y, wallfuel1, Calculated volume of fuel on intake walls from EAE (in injector pulsewidth units), us, 1, 100, 0, Y
12, 4, 100, 4, Y, wallfuel2, Second channel of same, us, 1, 100, 0, Y
13, 0, 104, 2, Y, sensors1, Generic sensor input 1 (gpioadc0 on MS2), -, 1, 10, 0, Y
13, 2, 106, 2, Y, sensors2, Generic sensor input 2 (gpioadc1 on MS2), -, 1, 10, 0, Y
13, 4, 108, 2, Y, sensors3, Generic sensor input 3 (gpioadc2 on MS2), -, 1, 10, 0, Y
13, 6, 110, 2, Y, sensors4, Generic sensor input 4 (gpioadc3 on MS2), -, 1, 10, 0, Y
14, 0, 112, 2, Y, sensors5, Generic sensor input 5 (gpioadc4 on MS2), -, 1, 10, 0, Y
14, 2, 114, 2, Y, sensors6, Generic sensor input 6 (gpioadc5 on MS2), -, 1, 10, 0, Y
14, 4, 116, 2, Y, sensors7, Generic sensor input 7 (gpioadc6 on MS2), -, 1, 10, 0, Y
14, 6, 118, 2, Y, sensors8, Generic sensor input 8 (gpioadc7 on MS2), -, 1, 10, 0, Y
15, 0, 120, 2, Y, sensors9, Generic sensor input 9 (adc6 on MS2), -, 1, 10, 0, Y
15, 2, 122, 2, Y, sensors10, Generic sensor input 10 (adc7 on MS2), -, 1, 10, 0, Y
15, 4, 124, 2, Y, sensors11, Generic sensor input 11, -, 1, 10, 0, -
15, 6, 126, 2, Y, sensors12, Generic sensor input 12, -, 1, 10, 0, -
16, 0, 128, 2, Y, sensors13, Generic sensor input 13, -, 1, 10, 0, -
16, 2, 130, 2, Y, sensors14, Generic sensor input 14, -, 1, 10, 0, -
16, 4, 132, 2, Y, sensors15, Generic sensor input 15, -, 1, 10, 0, -
16, 6, 134, 2, Y, sensors16, Generic sensor input 16, -, 1, 10, 0, -
17, 0, 136, 2, Y, boost_targ_1, Target boost - channel 1, kPa, 1, 10, 0, Y
17, 2, 138, 2, Y, boost_targ_2, Target boost - channel 2, kPa, 1, 10, 0, -
17, 4, 140, 1, -, boostduty, Duty cycle on boost solenoid 1, %, 1, 1, 0, Y
17, 5, 141, 1, -, boostduty2, Duty cycle on boost solenoid 2, %, 1, 1, 0, -
17, 6, 142, 2, Y, maf_volts, MAF voltage (synthesised for frequency MAFs), V, 1, 1000, 0, Y
18, 0, 144, 2, Y, pwseq1, Sequential Pulsewidth for cyl#1, ms, 1, 1000, 0, Y
18, 2, 146, 2, Y, pwseq2, Sequential Pulsewidth for cyl#2, ms, 1, 1000, 0, Y
18, 4, 148, 2, Y, pwseq3, Sequential Pulsewidth for cyl#3, ms, 1, 1000, 0, Y
