Item,Designator,Qty,Description / Value,MPN,PACKAGE/FOOTPRINT,Type
1,"C2, C3, C5, C34, C11, C16, C20, C302, C304 ",9,CAP CER 10UF 16V X5R 0805,CL21A106KOQNNNE,0805,SMD
3,"C21, C22",2,CAP CER 22PF 100V X7R 0603,C0603C220K1RACAUTO,0603,SMD
4,"C35, C54, C305, C303",4,CAP CER 0.1UF 50V X7R 0603,C0603C104M5RAC7867,0603,SMD
6,"D1, D2, D4, D5, D6",5,DIODE SCHOTTKY 30V 1.5A SOD123F,"PMEG3015EH,115",SOD-123F,SMD
7,"D301, D308, D314",3,LED GREEN DIFFUSED 0603 SMD,LT Q39E-Q1OO-25-1,0603,SMD
8,"D302, D315",2,LED RED CLEAR 0603 SMD,IN-S63ATR,0603,SMD
9,D316,1,LED BLUE CLEAR 0603 SMD,150060BS75000,0603,SMD
11,J2,1,"SMT MICRO SD CARD CONNECTOR, PUS",693071020811,nonstandard,SMD
13,J304,1,CONN U.FL RCPT STR 50 OHM SMD,U.FL-R-SMT-1(10),nonstandard,SMD
14,J305,1,CONN HEADER SMD R/A 6POS 1.25MM,532610671,nonstandard,SMD
15,J306,1,CONN HEADER R/A 4POS 2.5MM,S4B-XH-A-1(LF)(SN),nonstandard,Thru-hole
16,J309,1,CONN RCPT TYPEB 4POS R/A,USB-B1HSB6,nonstandard,Thru-hole
18,J312,1,CONN HEADER SMD R/A 4POS 1.25MM,532610471,nonstandard,SMD
26,L1,1,FIXED IND 6.3UH 3A 46.8 MOHM SMD,NRS6045T6R3MMGK,nonstandard,SMD
27,"MOD301, PAU301",2,SWITCH TACTILE SPST-NO 0.05A 12V,RS-032G05A3-SM RT,nonstandard,SMD
29,"Q3, Q4",2,MOSFET N-CH 25V 8A 8SO,SI4778DY-T1-GE3,8-SOIC,SMD
30,"R2, R9, R10, R11, R12, R13, R14, R16, R26, R35, R54, R55, R56, R57, R307",15,RES 10K OHM 5% 1/10W 0603,RMCF0603JT10K0,0603,SMD
31,"R15, R310",2,RES 1K OHM 5% 1/10W 0603,RMCF0603JT1K00,0603,SMD
33,R19,1,RES 0.1 OHM 5% 1/8W 0805,RL0805JR-070R1L,0805,SMD
34,"R21, R22, R91, R308, R309",5,RES 240 OHM 5% 1/10W 0603,RC0603JR-07240RL,0603,SMD
36,"R302, R303, R304",3,RES 100K OHM 5% 1/10W 0603,RC0603JR-10100KL,0603,SMD
41,U4,1,TVS DIODE 5.5VWM 6SON,TPD4S012DRYR,6-UFDFN,SMD
43,U6,1,IC PWR SWTCH N-CHAN 1:1 TSOT23-5,RT9742GGJ5,TSOT-23-5,SMD
44,U7,1,RASPBERRY PI PICO RP2040 BOARD,SC0915,nonstandard,SMD
46,U304,1,IC REG BUCK 5V 2A 8SOP,AP1509-50SG-13,8-SOIC,SMD
48,U310,1,RX TXRX MODULE ISM < 1GHZ SMD,COM-13909,nonstandard,SMD
49,U311,1,IC BUFFER NON-INVERT 5.5V 8VSSOP,SN74LVC2G126DCUR,8-VFSOP,SMD
50,Y2,1,CRYSTAL 16.0000MHZ 22PF SMD,SXT22422AA27-16.000MT,"4-SMD, No Lead",SMD
51,"Module2A,Module2B",2,CONN RCPT 100POS SMD GOLD,DF40C-100DS-0.4V,nonstandard,SMD
