Item,Qty,Reference(s),Value,Datasheet,AVAILABILITY,Description,MPN
1,15,"C4, C7, C8, C9, C10, C14, C29, C31, C35, C40, C48, C49, C50, C51, C52",0.1uF,~,,Multilayer Ceramic Capacitors MLCC - SMD/SMT 25V .1uF X7R 0402,04023C104KAT4A
2,4,"C5, C25, C44, C45",10uF,~,,Multilayer Ceramic Capacitors MLCC - SMD/SMT 16V 10uF X7R 0805 10%,0805YC106KAT2A
3,3,"C6, C32, C43",0.1uF,~,, Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V .1uF X7R 0805 20%TOL,08055C104M4T4A
4,7,"C11, C13, C16, C28, C33, C37, C38",1uF,~,,Multilayer Ceramic Capacitors MLCC - SMD/SMT 25V 1uF X5R 0402 10%,04023D105KAT2A
5,2,"C12, C15",10uF,~,,Multilayer Ceramic Capacitors MLCC - SMD/SMT 6.3V 10uF X5R 0402 20%,04026D106MAT2A
6,1,C17,4.6pF,~,,Silicon RF Capacitors / Thin Film 25V 4.6pF .05pFTol ThinFilm 0402,04023J4R6ABSTR
7,2,"C18, C22",16pF,~,,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 16pF C0G 0402 5%,04025A160JAT2A
8,2,"C19, C23",10pF,~,,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50Vol 10pF X7R 0402 10% AEC-Q200,C0402C100K5RACAUTO
9,1,C20,4pF,~,,Silicon RF Capacitors / Thin Film 50V 4pF .05pFTol ThinFilm 0402,04025J4R0ABSTR
10,1,C21,2pF,~,,Silicon RF Capacitors / Thin Film 25V 2pF .05pFTol ThinFilm 0402,04023J2R0ABSTR
11,2,"C24, C26",20pF,~,,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 20pF C0G 0603 5%,06035A200JAT2A
12,2,"C39, C41",22uF,~,,Multilayer Ceramic Capacitors MLCC - SMD/SMT 6.3V 22uF X5R 0805 20%,08056D226MAT2A
13,1,C42,0.47uF,~,,Multilayer Ceramic Capacitors MLCC - SMD/SMT 10V .47uF X7R 0805 20% Tol,0805ZC474MAT2A
14,1,C46,0.01uF,~,,Multilayer Ceramic Capacitors MLCC - SMD/SMT 25V 0.01uF C0G 0805 5% AEC-Q200,C0805C103J3GACAUTO
15,1,C47,10uF,~,,Aluminum Electrolytic Capacitors - SMD 50V 10uF 20%,EDH106M050A9DAA
16,2,"D2, D4",GRN,~,,Standard LEDs - SMD WL-SMCW SMDMono TpVw Waterclr 0603 BrtGrn,150060VS75000
17,1,D3,RED,~,,"Standard LEDs - SMD WL-SMCW 320mcd 1,9V 0603 S_Red 630nm Adv",150060SS75003
18,1,D5,D_Small,~,,Schottky Diodes & Rectifiers Diode Schottky 30V 1.5A 2-Pin ,RB070MM-30TR
19,1,J3,DM3AT-SF-PEJM5,https://www.mouser.com/datasheet/2/185/DM3AT_SF_PEJM5_CL0609_0031_0_00_2DDrawing_00009471-1614303.pdf,,Connector 	Memory Card Connectors R/A SMT MICROSD CON PUSH-PUSH TOP BRDMNT,DM3AT-SF-PEJM5
20,1,J4,DTM1312PA12PBR008,https://www.te.com/usa-en/product-DTM1312PA12PBR008.datasheet.pdf,," HDR, 24P, BLK, RA EEC, NI/CU, AB",DTM1312PA12PBR008
21,1,L3,2nH,~,,"Fixed Inductors 01005, 22nH +-3% S-HQ SMD RF IND",MHQ0402PSA22NHT000
22,1,L4,2.2nH,~,,Fixed Inductors 2.2nH Tol 0.3nH 0402 900mA DCR=0.13 Ohms,LCCI0402S2N2GTAR
23,1,L6,6.8uh,https://www.bourns.com/docs/Product-Datasheets/SRN6028.pdf,, Fixed Inductors 6.8uH 20% SMD 6028 ,SRN6028-6R8M
24,1,R3,"120,DNF",~,,,
25,12,"R4, R24, R25, R26, R27, R31, R38, R39, R40, R43, R44, R45",10k,~,,Thick Film Resistors - SMD 10 kOhms 62.5mW 0402 1%,RC0402FR-1010KL
26,1,R6,499R,~,,Thick Film Resistors - SMD 499 Ohms 62.5 mW 0402 1%,RC0402FR-13499RL
27,13,"R7, R8, R9, R10, R11, R12, R13, R16, R17, R22, R28, R32, R33",0R,~,,Thick Film Resistors - SMD 0 Ohms 62.5mW 0402 5% AEC-Q200,AC0402JR-070RL
28,2,"R14, R36",1k,~,,Thin Film Resistors - SMD 1K ohm 1% 1/16W,RT0402FRE071KL
