Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE501,7488910915,7488910915,108.545,-112.62,180.0,top
C101,0.1uF,C_0402_1005Metric,65.601569,-98.632617,0.0,top
C102,0.1uF,C_0402_1005Metric,49.975,-106.65,180.0,top
C103,0.1uF,C_0402_1005Metric,61.52,-110.46,0.0,top
C104,1uF,C_0402_1005Metric,61.52,-111.45,0.0,top
C105,10uF,C_0805_2012Metric,59.53,-111.54,-90.0,top
C106,0.1uF,C_0402_1005Metric,55.264642,-98.326066,135.0,top
C107,10uF,C_0805_2012Metric,66.069999,-96.665,0.0,top
C108,1uF,C_0402_1005Metric,54.43,-110.97,-90.0,top
C109,10uF,C_0805_2012Metric,55.83,-111.55,-90.0,top
C110,0.1uF,C_0402_1005Metric,53.685,-96.485,-90.0,top
C111,1uF,C_0402_1005Metric,74.37,-116.54,90.0,top
C112,16pF,C_0402_1005Metric,54.3,-113.5,-45.0,top
C113,16pF,C_0402_1005Metric,49.418148,-115.770574,-135.0,top
C114,4.6pF,C_0402_1005Metric,58.09,-114.14,180.0,top
C115,4pF,C_0402_1005Metric,57.07,-131.15,180.0,top
C116,2pF,C_0402_1005Metric,54.97,-129.22,0.0,top
C117,1uF,C_0402_1005Metric,62.3,-114.45,180.0,top
C201,10uF,C_0805_2012Metric,62.94,-119.17,180.0,top
C301,10uF,C_0805_2012Metric,100.21,-48.38,-90.0,top
C302,10uF,C_0805_2012Metric,97.38,-54.225001,-90.0,top
C303,1uF,C_0805_2012Metric,108.295,-56.444999,-90.0,top
C304,1uF,C_0805_2012Metric,102.295,-58.07,90.0,top
C401,10uF,C_0805_2012Metric,88.17,-68.37,90.0,top
C501,10uF,C_0805_2012Metric,84.175001,-98.49,90.0,top
C502,0.1uF,C_0402_1005Metric,78.745,-110.599999,180.0,top
C503,0.1uF,C_0402_1005Metric,82.535,-98.96,90.0,top
C504,0.1uF,C_0402_1005Metric,82.105,-101.26,90.0,top
C505,0.1uF,C_0402_1005Metric,83.115,-101.26,90.0,top
C507,16pF,C_0402_1005Metric,82.135,-97.245,0.0,top
C508,16pF,C_0402_1005Metric,78.96,-97.22,180.0,top
C509,0.01uF,C_0402_1005Metric,85.02,-103.875,0.0,top
C510,8.2pF,C_0402_1005Metric,87.94,-105.92,0.0,top
C513,6.8pF,C_0402_1005Metric,89.295,-103.995,90.0,top
C514,5.6pF,C_0402_1005Metric,92.095,-103.995,90.0,top
C515,100pF,C_0402_1005Metric,92.57,-105.37,0.0,top
C516,5.6nH,L_0402_1005Metric,86.02,-107.22,0.0,top
C517,100pF,C_0402_1005Metric,92.57,-106.67,0.0,top
C518,5.6pF,C_0402_1005Metric,87.495,-107.695,-90.0,top
C519,1.2pF,C_0402_1005Metric,97.19,-105.545,-90.0,top
C520,DNF,C_0402_1005Metric,100.165,-105.545,-90.0,top
C521,0.5pF,C_0402_1005Metric,98.665,-106.02,0.0,top
C522,8.2pF,C_0402_1005Metric,86.495,-105.445,90.0,top
C523,10uF,C_0805_2012Metric,95.87,-115.27,-90.0,top
C601,0.1uF,C_0402_1005Metric,50.569999,-59.87,180.0,top
C602,10uF,CP_Elec_5x5.9,53.62,-80.62,0.0,top
C801,0.1uF,C_0402_1005Metric,36.37,-102.77,180.0,top
D201,PESD2USB3UV-T,SOT-23,92.795,-60.295,180.0,top
D202,PESD2CANFD24V-T,SOT-23,92.795,-63.745,180.0,top
D301,RB496EA,SOT-23-5,101.32,-52.02,0.0,top
D302,D_Schottky_Small,D_SMA,105.22,-56.27,90.0,top
D303,GRN,LED_0603_1608Metric,108.02,-61.445,90.0,top
J201,Delphi_Sicma_24,Delphi_Sicma_24_Black,71.654404,-44.780432,180.0,top
L101,2nH,L_0402_1005Metric,57.57,-115.63,-90.0,top
L102,2.2nH,L_0402_1005Metric,56.589999,-129.7,90.0,top
L501,22nH,L_0402_1005Metric,85.02,-104.905,0.0,top
