Query,Qty,Manufacturer,MPN,Octopart URL,Part Description,Description,Schematic Reference,Internal Part Number,Lifecycle,Lead Time,RoHS,Total Qty (@ Batch Size: 1),SKU,SKU,SKU,SKU,SKU,Packaging,Packaging,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,MOQ,MOQ,URL,URL,URL,URL,URL,Distributor [Lowest Price (Selected)],SKU [Lowest Price (Selected)],Packaging [Lowest Price (Selected)],Unit Price (@ Batch Size: 1) [Lowest Price (Selected)],Line Total [Lowest Price (Selected)],Batch Total [Lowest Price (Selected)],In Stock [Lowest Price (Selected)],MOQ [Lowest Price (Selected)],URL [Lowest Price (Selected)],Notes
,,,,,,,,,,,,,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,,,,,,,,,,
7488910915,1,Wurth Elektronik,7488910915,https://octopart.com/7488910915-wurth+elektronik-110288232,We-mca Smt-multilayer Chip Anten,WE-MCA SMT-MULTILAYER CHIP ANTEN,AE501,,,14w,,1,732-7488910915CT-ND,710-7488910915,,,,Cut Tape,Tape & Reel,,,,1.38,1.38,,,,1697,1868,,,,1,1,,,,https://octopart.com/opatz8j6/a1?t=8ucsiCMTwORhoV3pZhsq-Ey4W9K3nAqX6XlCHWr6X9Izu11LisZLQAyQ0ho66kgfyh5pUhbhiTDs2v6t8-wFpDc_clNprEzIxOEr8jBmSVk5JgUOZyUJPyU1K5dNxxHe5eFeoZNaJejWZjWC9xmuT3aPRK0TZqlg2CFlXllIqBcR_S_iFGui4TUqj_NTY_jMgfD2aSVVRxOCeCSyiDY53hK1MSejTl1aUjBo1OlnOXxjLIVpE7zbS7m3tlLsT9sJftY-iyA,https://octopart.com/opatz8j6/a1?t=mTnHf33Wv2ormV_Gi1T31RL0PcNrNjkc8o4T4VUV_HeENzzeHiImMYJu889Z_uA5WGzeEjhSehS5teaDQahMHxclt50I9zYJW9SoDQfz2ZBXV9bIMH3_Eea3XREW474hOGbme8tWZK0EqmoDLi5RxOrwHia_bneIOvPWCfHTGwTFPVfNVawUlG1QUrduxkddrWrgeZZJ-WCX806tRUs_EiwwCGYuwXIrsJBsjGYXWEw_CzX3Fx21XYdy6Uc9VG8uKPZmtagx,,,,Digi-Key,732-7488910915CT-ND,Cut Tape,1.38,1.38,1.38,1697,1,https://octopart.com/opatz8j6/a1?t=8ucsiCMTwORhoV3pZhsq-Ey4W9K3nAqX6XlCHWr6X9Izu11LisZLQAyQ0ho66kgfyh5pUhbhiTDs2v6t8-wFpDc_clNprEzIxOEr8jBmSVk5JgUOZyUJPyU1K5dNxxHe5eFeoZNaJejWZjWC9xmuT3aPRK0TZqlg2CFlXllIqBcR_S_iFGui4TUqj_NTY_jMgfD2aSVVRxOCeCSyiDY53hK1MSejTl1aUjBo1OlnOXxjLIVpE7zbS7m3tlLsT9sJftY-iyA,
WM4893CT-ND,1,Molex,47948-0001,https://octopart.com/47948-0001-molex-20326346,"MOLEX - 47948-0001 - Chip Antenna, 2.4 GHz, 3.14mm x 3.14mm x 4mm",RF ANT 2.4GHZ CHIP SOLDER SMD,ANT101,,Production (Last Updated: 2 years ago),14w,Compliant,1,WM4893CT-ND,538-47948-0001,64T4821,47948-0001,7595325,Cut Tape,Tape & Reel,,Bulk,,1.78,1.95,,,2.245,17818,38955,9135,8280,2803,1,1,10,1800,1,https://octopart.com/opatz8j6/a1?t=cu5oJrOhLv6Jdde77xnSTTrQX_PYicgivpHDKjqkuCmQVmYVvIxDhSkCsRAYX7jkl9oN8txn0gFPgUj3FFbEVJ2KX3cIMdIu9FnEQhmmNNcwQI5QsjfzKv1BzrHYtCWUYsgnv2vitqlGoVQN5k4cLH88rI-BVZwQ3CpG3_3gXUHE0aytX2xIYvbPOxG0pNw1iauQNXjW06i6ygvSppMhfQFu_V0oDQ_xoU2i01OP0LCH5o3L0kIAunHj2spuLTli2dKQMQ,https://octopart.com/opatz8j6/a1?t=8qU-i_2Qh-2IKWSxQzs_YSjjSuUwb234cV46bvu0QyE6SCPK5Scc6NWG3MOYfII8bQl6nUWXC-2khwsKT8-_uwo6MiBPZzm083_2ygGKS93NzTl84lho7RMwRsQn523vbDqauarmZiX6yAD4DE30pFWXoKnrjlx_sdlVftAEqn_l47fcy3xRx41t6DyuKhlDUMxU53YvNVnUWi5PX2OlHM5jQQ64VR71_vO0ALT_lScc1I_HQB5zTlCSaVdyCQ59TAIkeg,https://octopart.com/opatz8j6/a1?t=C7vecuGV9uFf_7o4OIo1snddITxMtX3e2uZ2pwEKamZ5NGBEAFmMvPJytAxTdixwS1TS3JxYg214XVboHQEYYBnX6-w5yiQa1BP19dvSmMJkfqoQyZNI-4XxVque2g_kMVixojktUk00T5o6EEpCyZtHmOTtZ3ZsY02b6eeJ0-ILRLBSzlM6Pnh7iEvUBhJp10-8Lp4jNqc5D2Qmkkl-Jf3YNKf-lGe2BKDcLPq64Us6x0zsNFhaScYvqE2ZmY93zzL3Kuk,https://octopart.com/opatz8j6/a1?t=ottysxH22zTwqGIhSPBc02UD3FmYciGW9r8epFDXvZjaVGvagwiy4C884UL_VjVmpQ_35_0sVkMekWb_E435Kjto-VM18xvzE8DQvhdFrvXT1QvBdSLpafZrNRh-TSH0zw6nDQJXY1w3lljvgZYm639KfRCbeRrZZ1bGOxvaodkX_7kM9VJ9Fxm_2E5leJan-qjOlOtOBK_9HgN735yUXPjyfSZ6UR_hQUeVdhqt5uGYWcuJjPBKiqu5YuZ7bS6BHHdPCgM,https://octopart.com/opatz8j6/a1?t=IGxecjdAmD84-y4kEBin3holGhtaedOgy_q0Y_mgIhatiLfc4wQjfqg2Kx4rXp9_SrqQ3mfWGfXNTOVttuGwlQdRcTufbHoXMieU6daDl2dYKM1lmYaVJQhbOBp9lB-dRGwXbWZEUShz16xEa_NiP0i1D9H8BlYkcfap-f1N3UGK4IVxIadV2Iho9yyf5V4dpRXVO-G6950C7uC8KOGyldoLecQtiwqAUU_vEM7flPSyLN1IUv2pqD64T662pmsGHrKm20ht,Digi-Key,WM4893CT-ND,Cut Tape,1.78,1.78,1.78,17818,1,https://octopart.com/opatz8j6/a1?t=cu5oJrOhLv6Jdde77xnSTTrQX_PYicgivpHDKjqkuCmQVmYVvIxDhSkCsRAYX7jkl9oN8txn0gFPgUj3FFbEVJ2KX3cIMdIu9FnEQhmmNNcwQI5QsjfzKv1BzrHYtCWUYsgnv2vitqlGoVQN5k4cLH88rI-BVZwQ3CpG3_3gXUHE0aytX2xIYvbPOxG0pNw1iauQNXjW06i6ygvSppMhfQFu_V0oDQ_xoU2i01OP0LCH5o3L0kIAunHj2spuLTli2dKQMQ,
CGA2B1X7R1C104M050BC,8,TDK,CGA2B1X7R1C104M050BC,https://octopart.com/cga2b1x7r1c104m050bc-tdk-28170264,"Multilayer Ceramic Capacitor, 0.1 uF, 16 V, ± 20%, X7R, 0402 [1005 Metric]",CAP CER 0.1UF 16V 0402,"C101, C102, C103, C106, C108, C110, C118, C601",,Production (Last Updated: 2 years ago),24w,Compliant,8,445-12242-1-ND,810-CGA2B1X7R1C104MC,41AH1886,,,Cut Tape,Tape & Reel,,,,0.1,0.1,,,,588,143201,39120,,,1,1,10,,,https://octopart.com/opatz8j6/a1?t=IHtF2Z1q6JNy7gZxEr3DTlmFOIFx07GLKEgSie99JF_lPJLWAtOeHxPshzS1eHXeff6WMz1jacvUP4I-1qYUPpCQWyfHB77z1NKPhMgZnQAoUTAJ3s-dpHj0x41sSBXt53GQpkI_FMGqur7Tvom-iUkYIWgI3MQ0PvhVCoRaKmai23g9hMOvmeCKHoZdIIFoOnKHbzbCUaA1u3g1GPa7bqj0bqg0JqVdV64hiddljhotNikHwn0alGBljbpWGLBn6PMn,https://octopart.com/opatz8j6/a1?t=-reIFd9mrOmNeMuMw4rnbCrVRPljOunq9treW3Fh_EF5cLshni28BZmXLCnC7ObNaptUPLFeZyjxJMOdjPt8RMAWf-eBh8RMP7jfb2yPng7DhYzr8Kykf11au9YG2dKrDBOafhkPFst7p-jB2HktHkql87u6R9PScCKJM7SPibkuGAR1aVg4RcSKqURPE3vzHXsdSm35l404eM3Gfu5sAwpOZT6v3KaHJGaRifkcIPhaRyZAR8gC_w7qv45HflO8LXp2QJY,https://octopart.com/opatz8j6/a1?t=F1U2Fo01eORKLsetqw_ir_mQWPzUTcKZWfLhsT5n1W8o_S7p27WhScMN-k8hx3XMXCaOd4oB8Z2NC_5ggD0OU1YTHZq84Sm2MDto-NSO4u5zfFp_3Cxv5tslQAIW3ig_AC0ljU4aRj1p_ATXcuLRC6y4d0eq9pDCEDfjrifw7cJV7HIxyunQqJbMfjOzZX88psuB7suaHqwHD9IbLFRbxbl6kWFxSn_9eUSOwznvN4FsQESYMayecRC3FURtxHUDB-breE8,,,Digi-Key,445-12242-1-ND,Cut Tape,0.1,0.8,0.8,588,1,https://octopart.com/opatz8j6/a1?t=IHtF2Z1q6JNy7gZxEr3DTlmFOIFx07GLKEgSie99JF_lPJLWAtOeHxPshzS1eHXeff6WMz1jacvUP4I-1qYUPpCQWyfHB77z1NKPhMgZnQAoUTAJ3s-dpHj0x41sSBXt53GQpkI_FMGqur7Tvom-iUkYIWgI3MQ0PvhVCoRaKmai23g9hMOvmeCKHoZdIIFoOnKHbzbCUaA1u3g1GPa7bqj0bqg0JqVdV64hiddljhotNikHwn0alGBljbpWGLBn6PMn,
CGA2B1X7T0G105M050BC,4,TDK,CGA2B1X7T0G105M050BC,https://octopart.com/cga2b1x7t0g105m050bc-tdk-103952129,"Multilayer Ceramic Capacitor, 1 uF, 4 V, ± 20%, X7T, 0402 [1005 Metric]",CAP CER 1UF 4V X7T 0402,"C104, C111, C117, C401",,Production (Last Updated: 4 days ago),24w,,4,445-CGA2B1X7T0G105M050BCCT-ND,810-CGA2B1X7T0G10550,29AJ4513,,,Cut Tape,Tape & Reel,,,,0.3,0.32,,,,7378,19473,7910,,,1,1,10,,,https://octopart.com/opatz8j6/a1?t=eEVttxIRU3kSJYQJYVJ62QgC7IXvIIySf48JF3t9dog9O5OJVJws0SXtfj1J5FOmTPiKoyRkW946Gsq8oVZDrqJK3-8-Cjul_9oKMCgJx1eJhwZLcQPRyBsSR_oRZgi88LeJ0Zu9j6lGXDfRUUzfCmbFQdGNZ7fCpi9lkbeqoeYbovOM8a1f6AKAaC80aO1kx5OB0LxZPKc7Bf98c4C-eN_quP8l4bBgb99QqDbM0lKAOinYZp9rVyDmikxJEGHdFpUBIYo,https://octopart.com/opatz8j6/a1?t=ybAU2BbysgK591ZzI6UF22MgaHF8GP5uOj0zRcCA0M0IA2V0Qb8BQUFtxRnVPyO58hSjx70f82Co9c_3sYKOXO0c-MgYNtGahRMQ0XugJ4p6ZlL6671p3gPW3_M9ABZ3TEJKiR6p8v0ssNpc03wBFbqNtrZMt82zNRC2FgFALy5NK58UAR3wStq4GXnboYc8kp8VR7VXeC18MyrEm2Nk8l7xDTwJmjG7g5P2a8ROcoVpWHHyPSNvhsTpo371w7h6D8ZVnF3k,https://octopart.com/opatz8j6/a1?t=TTuplWtb-AgK4UqpkVXOS57zT6OW-f7iz0Qim4YX1EwwVgbZpeQaFb6vvmGFrr6B_Ufh92mYDZ2D6p_H4SyMLE4G0pWeZQFy_oZKk9Ur2jtoCD8sN5T39J2dsQGDDA0XECT5dr_GymNjwapb8gS1CBPnwosKxRU2syu0L15ASiwUIJyibri4VcNJX0DejWIRl8Vk9Y0avL5f3KGMWPgC2Kf3mz0eIB8DKTxrNPKjRfcmz4yRSnQy-_7b4TTgCWsMSBom4Z8P,,,Digi-Key,445-CGA2B1X7T0G105M050BCCT-ND,Cut Tape,0.3,1.2,1.2,7378,1,https://octopart.com/opatz8j6/a1?t=eEVttxIRU3kSJYQJYVJ62QgC7IXvIIySf48JF3t9dog9O5OJVJws0SXtfj1J5FOmTPiKoyRkW946Gsq8oVZDrqJK3-8-Cjul_9oKMCgJx1eJhwZLcQPRyBsSR_oRZgi88LeJ0Zu9j6lGXDfRUUzfCmbFQdGNZ7fCpi9lkbeqoeYbovOM8a1f6AKAaC80aO1kx5OB0LxZPKc7Bf98c4C-eN_quP8l4bBgb99QqDbM0lKAOinYZp9rVyDmikxJEGHdFpUBIYo,
GRT21BC81A106KE01L,6,Murata,GRT21BC81A106KE01L,https://octopart.com/grt21bc81a106ke01l-murata-62921620,"Multilayer Ceramic Capacitor, 10 uF, 10 V, ± 10%, X6S, 0805 [2012 Metric]",CAP CER 10UF 10V 0805,"C105, C107, C109, C301, C302, C523",,NRND (Last Updated: 1 week ago),27w,Compliant,6,490-12340-1-ND,81-GRT21BC81A106KE1L,,,,Cut Tape,Tape & Reel,,,,0.6,0.55,,,,18574,4618,,,,1,1,,,,https://octopart.com/opatz8j6/a1?t=fQrT6CwDRJrBuT88bCAHKI4wnn9W_MCsv_N9zOqyuVlL3JprSmHDeosbfssgLg_cs0rfCdmV1aRkzy13z6Buevcdh5Wjy3B00zRXBRLhi-xhEOrPX54myKx32RHVSuYxeDMujIqjidAKz222pF1Wj2pLhWPMuL_ieC5j8oryod3Dpyz-qi3GOk_5myj72UgLWsHpzBnety1x5SOT9VSq1ILJ7IQYl5I2sXd38HS_7P7wFqJcrI7vl0jOfGCtXZ7wXrOpWw,https://octopart.com/opatz8j6/a1?t=KPw8OtnG3ZUzwXEq12Z7FGMEH1mgqGT5Kf1wMLU2h7bW7FiAMuaCStPEyoJv0AsjnleZeEYs77CFd3xaGffKSnHThFb_ZstJiZzLJJx4h_55P0RHeYXwbSJ5nbbXzAQJC7cicejNc0IZ9YekJ7Y86k9cD3ztJ115A38SlQ3nISMlCZ5vVb_skAgHnJ4mI8f3lMD4kWlULxIJo2dJhznaQ0yvrcYCklv9Tia_4LM7jhIItH0ThpB64CWiJBF9RFrcr87rKEA,,,,Mouser,81-GRT21BC81A106KE1L,Tape & Reel,0.55,3.3000000000000003,3.3000000000000003,4618,1,https://octopart.com/opatz8j6/a1?t=KPw8OtnG3ZUzwXEq12Z7FGMEH1mgqGT5Kf1wMLU2h7bW7FiAMuaCStPEyoJv0AsjnleZeEYs77CFd3xaGffKSnHThFb_ZstJiZzLJJx4h_55P0RHeYXwbSJ5nbbXzAQJC7cicejNc0IZ9YekJ7Y86k9cD3ztJ115A38SlQ3nISMlCZ5vVb_skAgHnJ4mI8f3lMD4kWlULxIJo2dJhznaQ0yvrcYCklv9Tia_4LM7jhIItH0ThpB64CWiJBF9RFrcr87rKEA,
GCM1555C1H160JA16D,2,Murata,GCM1555C1H160JA16D,https://octopart.com/gcm1555c1h160ja16d-murata-46689959,"Multilayer Ceramic Capacitor, 16 pF, 50 V, ± 5%, C0G (NP0), 0402 [1005 Metric]",CAP CER 16PF 50V NP0 0402,"C112, C113",,Production (Last Updated: 1 week ago),27w,Compliant,2,490-GCM1555C1H160JA16DCT-ND,81-GCM1555C1H160JA6D,,,,Cut Tape,Tape & Reel,,,,0.1,0.1,,,,43330,65147,,,,1,1,,,,https://octopart.com/opatz8j6/a1?t=nIVlwoCW34aRPD-oAuNFIPeiGmVRQ1e07DUcJGVnYkI9_WFhd7b0Q40wSpyz5g-2BR5x6gBiUHF0kdiI2F-MWBdscR-gGQjIajMIBO_XjTWVt9iknjhTi2bwbNfgSQdF4shczYp8i2zWAYmobAkjFEQG2ogTv2natdnplOKmRn2U17XVsVz6PCx3gnsOvw_U4gY9jO7T08ScjPen4KNn0Jko2b0ZazhMHr6bPfjdEtelTI3RSXh2EUDN_rEbzzV8B_dy_w,https://octopart.com/opatz8j6/a1?t=oZRk9NlAlGV74rjphF4CoJH8ZbMg5_zZv8emEOqC0jah10qyg_nUTabULQ40SGYRLCqVQPRsJ8r0sES3d6Zxh1nVCJzfjzBM5_8LZLsLgvib8UBDQOufRLv4dA44POzu7b5rkwzeP1DYBoIMArXP6lFplDkyifAp9Va-3UuhyYH5SyuWnwECBpKRAwmnvluddXqhol1ryF7OUtUI_rFXVh2nKkUI5GNORzGl7Rp0dG9ICP9q-mDGSt8H8atiVraZXjYGnjo,,,,Digi-Key,490-GCM1555C1H160JA16DCT-ND,Cut Tape,0.1,0.2,0.2,43330,1,https://octopart.com/opatz8j6/a1?t=nIVlwoCW34aRPD-oAuNFIPeiGmVRQ1e07DUcJGVnYkI9_WFhd7b0Q40wSpyz5g-2BR5x6gBiUHF0kdiI2F-MWBdscR-gGQjIajMIBO_XjTWVt9iknjhTi2bwbNfgSQdF4shczYp8i2zWAYmobAkjFEQG2ogTv2natdnplOKmRn2U17XVsVz6PCx3gnsOvw_U4gY9jO7T08ScjPen4KNn0Jko2b0ZazhMHr6bPfjdEtelTI3RSXh2EUDN_rEbzzV8B_dy_w,
CBR04C469B5GAC,1,KEMET,CBR04C469B5GAC,https://octopart.com/cbr04c469b5gac-kemet-86730458,"Multilayer Ceramic Capacitor, 4.6 pF, 50 V, ± 0.1pF, C0G (NP0), 0402 [1005 Metric]",CAP CER RF 4.6PF 50V +/-0.1 PF C,C114,,,30w,Non-Compliant,1,399-16090-1-ND,80-CBR04C469B5GAC,43AC8824,CBR04C469B5GAC,,Cut Tape,Tape & Reel,,Bulk,,0.18,0.19,,,,23145,0,0,0,,1,1,10,10000,,https://octopart.com/opatz8j6/a1?t=mukglH6hHZeW6FNPfuRBVe3BkYZ-pTgVSnJmdvwYFUm1tuL9KaErHaik2bQfpr3b9mR5JpVKHje94KEZoHnkwklEUDKxEPJEXptsQAdJSyLbZKeTmVDlTG4qDa_xh9VmUNKbY83yz43m0Dlyc6OcFR4Z5uOAFk-cPzgBgL78r7zq_wRSoQu2OJ6c5kilNipYBvHnkhiC9NZFmviqIEFEAViIEARRTwqdoO-yDIQCXVxkorjj4M7f7vI4EiSZIo3ttfe1wQ,https://octopart.com/opatz8j6/a1?t=v4j0WZWhnqOK3CJC05d7SWHqMm8VleWa_q6hY1dOhZTP6vo22TPsQhCQj_Ewh6BO-_NlfgzAvGiiTX3pZE2IyWHLUXRucC6ymk7uQ4jm5S3Jz_DyzemKzPmsNMcGTo3_2MVlAy6kRszUN8d0LvJ6BNHNiOJcCYsd06uw_F5lzN2HW2zo2-tCVbaUyhZcOPklw6eLqKacsqy1WqUI7bM9qO6mdGLw35ktU0G3V_R8oRSzKLe3VtIdCRaZpGrFwpgP4aglFqA,https://octopart.com/opatz8j6/a1?t=hyk4g8_Yv3M1DjO3-6aM1mdPUBdp4loSPkK0O8o1BF3SB2xPfKxSVguw8vZA5W5TqKb8_K1QcCwGY3aSWnFqPr6wfYwpWzw18-2fA8xdLCh1VEJU2Qd_SGBPsa2Tgs7XkRuOdzsBFmgx3qxldEfg8KkyJsTu_rZcQoyzA9Yf3xmO4m2RBIi7MJxMQN0CsEDX5JDGEeGiCTAKnJ_yMynMFBuEY4kXMFZ9VzWhxCrJhDW2d0sXcGvPdEmjaMLPvAyR8p2b4qo,https://octopart.com/opatz8j6/a1?t=zpWUtqF3UqVfraRSoxeytfUKzEbzDdY0T3LPoWLqoEDODjU3s7Crl5Fopz58SLXivVbva7NGiI4CO0ZrQm1iaTCC0zBSwNgfy-ppX1ERtvvNVyuortiqGrCyzTfuojuPGG7fOi7Xn5DAaSnIM5dg6-L1joiuihj-vT5xeawPwBXtxxvqeIn24AcXjR3-8kcIjpWuxLPhTqaAiCxRyYEnUkivr8mZOcurby8ZyOikQi_VfHnKtfEKc7LxLaCiHSOLjNauwns,,Digi-Key,399-16090-1-ND,Cut Tape,0.18,0.18,0.18,23145,1,https://octopart.com/opatz8j6/a1?t=mukglH6hHZeW6FNPfuRBVe3BkYZ-pTgVSnJmdvwYFUm1tuL9KaErHaik2bQfpr3b9mR5JpVKHje94KEZoHnkwklEUDKxEPJEXptsQAdJSyLbZKeTmVDlTG4qDa_xh9VmUNKbY83yz43m0Dlyc6OcFR4Z5uOAFk-cPzgBgL78r7zq_wRSoQu2OJ6c5kilNipYBvHnkhiC9NZFmviqIEFEAViIEARRTwqdoO-yDIQCXVxkorjj4M7f7vI4EiSZIo3ttfe1wQ,
UMK105UJ040CV-F,1,Taiyo Yuden,UMK105UJ040CV-F,https://octopart.com/umk105uj040cv-f-taiyo+yuden-75346483,Multilayer Ceramic Capacitor 4pF 50V 0.25pF 0402 Paper T/R,CAP CER 4PF 50V U2J 0402,C115,,,17w,Non-Compliant,1,587-UMK105UJ040CV-FCT-ND,963-UMK105UJ040CV-F,95Y2540,UMK105UJ040CV-F,,Cut Tape,Tape & Reel,,Bulk,,0.11,0.11,,,,8675,9865,0,0,,1,1,10000,10000,,https://octopart.com/opatz8j6/a1?t=YxEstCiJp8D6xZ5HjnX7nLG-28_Nf4IAtC8WjL5QiRBt-ZFEYZihbcxFapVpULvVxavN4Q8V-rlHdE8mD9OWPfiAiPSECwg-CdPcZI6BH73GXvftLUnRp9jSTJA-a5Om5R7XDTSDiMbzbC6g3rejOKiOxHlIf3m5SCAIyqFkdYhHRZK6cXdLk-Y5uPMx2Y7TivOclPxoyRCHhHlD8cAInndVMc59O06HtiQGG_lkJzqC0xWa-PLU1uf84xmHkOK2x-Rvjw,https://octopart.com/opatz8j6/a1?t=TI4M-51W1VQl6eh0P17LzBmx7vyqISBHdWLINf2xaOBhwgxwqame6WlZ_u371eYUGYTxv2OFHJVsDTJqdIJL26s19gt-wFrWsfNg53mRlFSIOqGCVXnTVLIzDV8OqCUbMWcvzZo0lq_saytNQm-xvU_3PB0M0CoeDXBYXaNYlgKUVenNbrsc3RfqbHRm97pvEaq2xUBbN_RRoqy2NTGuKlb7j9TI7ThW41rP-iwoIXEKDT4hFcqOb6xFe1HN2TCwpDTFdpE,https://octopart.com/opatz8j6/a1?t=67Iob-A2uDzwUkikTxG_Ubi0NnjGd21_1gd6_HwFFMhKbjobDo9YejsivM4WicQjHLM7HQI-ug71fetrSt5FHuJ9ORJxOR2mjalbfPTlEoljif_sb3VCukFEzmdAP1sbzLhGOmzvC8H00vzEqD4_wzBbLEjhVhrLr4ea4c9LgYnaLYaNiAGndpsrNebWN0_3oGI83J9sLDcwKdCPD8KmZ10fmKRycx2V5Yp5SFcCsvbSXLJfqNJzjHt9jBl_6Qpi59mPAwk,https://octopart.com/opatz8j6/a1?t=u7bpNGUVn3vGdL9u9GKkohyt7bNgAR7PasVfRXL7fbLgDpjCti1LZIK_m3y9q9JK-qYKRsU_13E5Ae_NBxupyC-FvmPqdon2oDyK6IwwUPsOUrmDO3EtA1LAXKoQzwTcvxk4kXgE6CgGkxAB9dZEbvAxDyZiOj12NBbqtB76i5t68Rwmgp8fANd7EVFXzwevTrXUZVEgafMPbxO-bqiDNyyzbW_jmhDheNKipqU5d-_BrGnRJx01yN2RV1dpmn7oHQAA3sQ,,Digi-Key,587-UMK105UJ040CV-FCT-ND,Cut Tape,0.11,0.11,0.11,8675,1,https://octopart.com/opatz8j6/a1?t=YxEstCiJp8D6xZ5HjnX7nLG-28_Nf4IAtC8WjL5QiRBt-ZFEYZihbcxFapVpULvVxavN4Q8V-rlHdE8mD9OWPfiAiPSECwg-CdPcZI6BH73GXvftLUnRp9jSTJA-a5Om5R7XDTSDiMbzbC6g3rejOKiOxHlIf3m5SCAIyqFkdYhHRZK6cXdLk-Y5uPMx2Y7TivOclPxoyRCHhHlD8cAInndVMc59O06HtiQGG_lkJzqC0xWa-PLU1uf84xmHkOK2x-Rvjw,
UMK105CK020CVHF,2,Taiyo Yuden,UMK105CK020CVHF,https://octopart.com/umk105ck020cvhf-taiyo+yuden-76901377,Cap Cer 2PF 50V Ch 0402,CAP CER 2PF 50V CH 0402,"C116, C119",,,26w,Compliant,2,587-5104-1-ND,963-UMK105CK020CVHF,16AC2110,UMK105CK020CVHF,,Cut Tape,Tape & Reel,,Bulk,,0.1,0.1,,,,29223,22820,0,0,,1,1,10000,10000,,https://octopart.com/opatz8j6/a1?t=0pNiCo-zBYI7Kebm6h7HZChPyFLTydadN7jpYzj73-HHY2YXa9uAMJGq709geCLNszcGeeDqWtkrZpjpa0QRXiNg9Xi8aIRgVk4DnUuyq4sImZrVUVS3WiD_anPrkkwkjeM4BSIkbjfUEB75tJXTEsk5db6XZichpxDx2RR20M7xXSKSbyKYtk6zr8qt_lw7rqTQnUrHCwBtrs7awhpE2pRRcg-FM0oLMREYasCSZWHM89_cJpmCvYZv-eFKNW0QGub5Jw,https://octopart.com/opatz8j6/a1?t=MVLNPHnqGPiE0mNa1tX-J5jvUsw_tr_ys1G1rrVbknxVmnvowsjAfcjteSZBjeu1fHjeGLlP6ieN-e8w8DtyNs5DDjddMEzQETKW4UGfQOiq7NanH69LUfv-X75FoTz9W5dFAeb-pfq2Dl5LnP5_TIdIK4dZZFvlmbyOcDC7sUlqt_SXEQq_653XFWGq7J9DlzIl3WH2ErSrvD5UO3fkECQnd-W_OICgox4m52_jTg5MKA5pFz38FpfrUTNpN3f5nvpehog,https://octopart.com/opatz8j6/a1?t=IjlPURF-ElZnqxAoYgthP77aCypsPnQLn1GN-BdVpxr0AhNJJ2FmOBzNfE40dZe1cYHKStZL_WuYdEJAFy9OkHaTPehcNtkIraQkymLiKRKOpT3vk5JBR5xLctd03-LFSYdlE0if8u-JJkO3p4YZ6d8TJy3iBaVWHFWuRAcnkxC2NfNb7b4lvqyCDQHkZ7C4CgAtZj8TwW7aX9ssBu9Z2nIbOQkjwv5AEbmBo5Cium-coqnM3FP6Xs7TC1xNms-TwO54KL4,https://octopart.com/opatz8j6/a1?t=xM8jOmS6IEW66fxgLOpXVxGEt-HH9vpqekZjYb-J1-Ca_t7H5NrWC-G-29LlASB8M6x4KsOIPAmyfVTekNdwvr6m84GWD5LDRbX16vrfSIa5Di86l2vuWaViTyXH5ljZplELG8PUXhS35SifgMa3jyzZcPqBpprpxjEsboHV3852z7iTxFZM9o8aqj4vdeCwnMOlHMp2EIde31PSovcoKICkPb5qw0XUPCy7_4jxvamdqDq1YZeVcXEdvP0eW7QoAPaKAZc,,Digi-Key,587-5104-1-ND,Cut Tape,0.1,0.2,0.2,29223,1,https://octopart.com/opatz8j6/a1?t=0pNiCo-zBYI7Kebm6h7HZChPyFLTydadN7jpYzj73-HHY2YXa9uAMJGq709geCLNszcGeeDqWtkrZpjpa0QRXiNg9Xi8aIRgVk4DnUuyq4sImZrVUVS3WiD_anPrkkwkjeM4BSIkbjfUEB75tJXTEsk5db6XZichpxDx2RR20M7xXSKSbyKYtk6zr8qt_lw7rqTQnUrHCwBtrs7awhpE2pRRcg-FM0oLMREYasCSZWHM89_cJpmCvYZv-eFKNW0QGub5Jw,
